time,T1
0,1323.664104
1,1267.490547
2,1202.147131
3,1145.915755
4,1206.366147
5,1380.749854
6,1581.119685
7,1519.878266
8,1525.061329
9,1526.578472
10,1547.554699
11,1514.409206
12,1498.46468
13,1474.870724
14,1469.081125
15,1505.685999
16,1529.000362
17,1554.652022
18,1539.394484
19,1522.69709
20,1451.927844
21,1452.417562
22,1432.662386
23,1400.504074
