,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,pds_lat,wds_lat,T1,T2,B0,reliability,penalized_avg_obj
0,0.0,129985.96413310987,138433.74331265176,2267.865970929562,0.11689860198210927,128236.69990843082,0.881,420430.8929081559,0,0,752,504,0,0.119,550416.8570412658
1,0.5,131429.69144340785,139278.59417675465,2076.8571884491657,0.12423276773805621,134466.66363809368,0.549,209303.17496961023,0,0,330,316,0,0.45099999999999996,340732.8664130181
2,1.0,133256.7828474746,140504.3869051184,1925.9383906974888,0.10140552036605616,140696.62775828107,0.302,86595.14456091271,0,0,161,171,0,0.698,219851.9274083873
3,1.5,135354.6216844973,142124.1294080646,1830.2393806250948,0.0599748030249041,146926.58921903232,0.135,34571.4736055986,0,0,71,72,0,0.865,169926.0952900959
4,2.0,137604.08957518585,144073.6149759551,1777.9886782334856,0.029392120277096655,153156.78731468855,0.048,7207.8676125885395,0,0,19,29,0,0.952,144811.9571877744
5,2.5,138104.01683499216,144553.64086839286,1778.3937809929032,0.02864569272959043,159875.81930867076,0.015,1066.1781555151633,0,0,12,3,0,0.985,139170.19499050733
6,3.0,138506.2163883964,145142.0506797751,1787.5534084602118,0.03504600862460095,166623.6696707594,0.005,89.51761628919732,0,0,5,0,0,0.995,138595.7340046856
