,theta,avg_cost,max_cost,std_cost,solver_obj,violations_rate,pds_lat,wds_lat,T1,T2,T3,T4,T5,B3,reliability
0,0.5,284832.91499374557,296014.3615193267,3242.149589164947,290186.00439769594,0.841,0,0,314,302,338,322,316,0,0.15900000000000003
1,1.0,286839.17997583613,297457.357960803,3080.7949332241596,299147.4597442902,0.558,0,0,150,159,157,149,161,0,0.44199999999999995
2,1.5,289138.33703198,299302.33362160315,2977.1508454269574,308109.22495270777,0.252,0,0,51,59,70,49,53,0,0.748
3,2.0,291608.86813535844,301428.7492184242,2917.5765689129553,317070.5029684792,0.1,0,0,21,14,27,19,21,0,0.9
4,2.5,294850.39687323367,304425.53852204996,2873.2604903629126,326700.8762067788,0.021,0,0,4,3,7,5,3,0,0.979
5,3.0,298211.3183783759,307489.49862066156,2819.1016287498123,336344.53885893745,0.005,0,0,0,1,2,2,0,0,0.995
