,theta,avg_cost,max_cost,std_cost,solver_obj,violations_rate,pds_lat,wds_lat,T1,T2,T3,T4,T5,B3,reliability
0,0.5,283745.235058045,294586.4710372366,3319.585549893383,289162.71271493885,0.767,0,0,344,325,330,300,282,0,0.23299999999999998
1,1.0,284667.2556134797,294941.3641353111,3153.341113034025,297101.6305081959,0.501,0,0,173,165,156,151,137,0,0.499
2,1.5,285887.6100118531,295705.5848976744,3045.6028747729515,305040.5153280593,0.27,0,0,78,80,62,70,61,0,0.73
3,2.0,287279.28714445914,296738.52199659427,2985.034864488605,312979.45459082955,0.131,0,0,26,40,30,28,23,0,0.869
4,2.5,289056.2434887873,298273.53604504163,2938.398110880017,321196.8575540146,0.037,0,0,6,11,10,9,3,0,0.963
5,3.0,291266.95736779465,300228.0165698519,2880.1789067578793,329740.56136531057,0.011,0,0,1,3,3,4,0,0,0.989
