,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,T3,T4,T5,gen_22,reliability,penalized_avg_obj
0,0.5,997308.7031300237,1010909.4518517616,4687.564053042316,-0.02125713752089504,1006.3371800452865,0.792,114313576.67711204,635075.4259839559,0.0,0,0,315,317,321,327,320,0,0.20799999999999996,115310885.38024206
1,1.0,998186.9344434165,1011483.8436880948,4573.640825452937,-0.03373365743234329,1017.2636041800677,0.519,48086969.57326834,267149.8309626019,0.0,0,0,150,154,170,162,163,0,0.481,49085156.50771175
2,1.5,999265.6889085233,1012302.9787054202,4495.913377931509,-0.04423552783666526,1028.191467937131,0.269,16986901.886974614,94371.67714985897,0.0,0,0,75,54,71,65,72,0,0.731,17986167.57588314
3,2.0,1000480.1105515152,1013342.9181509321,4441.647645780411,-0.05076108235076079,1039.1199933305043,0.111,5017712.093188254,27876.1782954903,0.0,0,0,25,15,32,20,31,0,0.889,6018192.20373977
4,2.5,1001098.8249280085,1013923.2455484712,4414.702466112057,-0.04719180479722408,1050.339848100242,0.031,1254167.0859904955,6967.59492216942,0.0,0,0,6,6,10,3,7,0,0.969,2255265.910918504
5,3.0,1001213.6405911762,1014036.6431679002,4418.915583813268,-0.04495301289592823,1061.767461567172,0.009,223455.25425067826,1241.418079170435,5.281696763428201,0,0,2,3,1,1,1,1,0.991,1224668.8948418545
