,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
10,1.0,132553.39594676925,139955.69992766832,2024.439250229533,0.10527846512562192,139.97811563100535,0.306,119161.67068406579,,,2,2,163,183,0,0.694,251715.06663083503
11,1.0,132695.40189224127,139974.04082143973,2009.2165643245314,0.10393467789561506,140.11008122157628,0.308,152576.43043601455,,,2,4,167,173,0,0.692,285271.8323282558
12,1.0,132812.83552857913,139891.376315032,1991.0812900792096,0.1003567266294575,140.22425883064034,0.307,187605.2463827043,,,2,6,174,164,0,0.6930000000000001,320418.0819112834
13,1.0,132911.19255322855,139935.606700428,1974.1195661586655,0.10152931713698009,140.31890642256306,0.309,222377.14133316698,,,2,8,177,163,0,0.6910000000000001,355288.33388639556
14,1.0,132990.1164592058,140159.71051393996,1966.297465573517,0.11086124042467622,140.39911874833848,0.321,252724.90547636081,,,2,10,176,176,0,0.679,385715.0219355666
15,1.0,133064.44376907233,140132.75498944876,1956.5950540999233,0.10973749144860587,140.4693843269374,0.324,260474.39720201108,,,2,12,174,177,0,0.6759999999999999,393538.8409710834
16,1.0,132390.38336205727,139850.53520538815,2048.2718830073386,0.10345583340291106,139.8248590724656,0.306,66069.33657058747,,,4,0,176,169,0,0.694,198459.71993264474
17,1.0,132589.41725356967,139958.77530727207,2027.6334652707328,0.10465367190380699,139.98760660445063,0.298,116657.9945390956,,,4,2,158,179,0,0.702,249247.41179266525
18,1.0,132697.27341816414,139944.23762528063,2013.9541819700346,0.10340260183216518,140.11948613457798,0.302,152650.49886880553,,,4,4,162,171,0,0.698,285347.7722869697
19,1.0,132816.17139529425,139870.3820370516,1996.7335317388481,0.10007846955502413,140.234825559067,0.304,186573.3856056305,,,4,6,173,162,0,0.696,319389.5570009247
20,1.0,132914.5041650829,139987.4067681788,1980.5265729341938,0.10131501989801536,140.3294695607073,0.308,220265.12052295503,,,4,8,175,164,0,0.692,353179.6246880379
21,1.0,132993.23851947996,140214.66940346482,1973.3356471072877,0.11110339577030016,140.40967050886135,0.319,249452.20852319806,,,4,10,176,174,0,0.681,382445.447042678
22,1.0,133067.55174613587,140190.2237784027,1964.1545016980044,0.10992992744979077,140.47992758996384,0.319,259256.5159109254,,,4,12,171,176,0,0.681,392324.06765706127
23,1.0,132416.4450674219,139862.8000977109,2048.165720939379,0.10376535841218812,139.8248767236766,0.287,60913.10725835581,,,6,0,177,142,0,0.7130000000000001,193329.5523257777
24,1.0,132557.2740256471,139913.03681291256,2028.4630778969206,0.10547550431936432,139.98989861854045,0.312,121317.07134974019,,,6,2,172,181,0,0.688,253874.3453753873
25,1.0,132857.7545304727,140104.33183575817,2010.2955324679062,0.10167668725025057,140.12283724628767,0.279,136178.57735059242,,,6,4,158,146,0,0.721,269036.33188106515
26,1.0,132817.05951105704,139860.67065767915,1997.5608085482722,0.10108437523356388,140.23697718918126,0.312,187568.96699087648,,,6,6,175,168,0,0.688,320386.0265019335
27,1.0,132915.41695178638,140006.39175389585,1981.4055559023377,0.102188788198942,140.33162194189615,0.306,218060.5118237626,,,6,8,172,163,0,0.694,350975.92877554893
28,1.0,132994.0921029866,140234.58077567362,1974.2939810586436,0.11229459210936543,140.41182527196636,0.319,248028.39914450212,,,6,10,175,175,0,0.681,381022.4912474887
29,1.0,133068.3863655516,140210.93190002348,1965.1896048354392,0.11134287785274383,140.48208490873796,0.321,259866.47562274744,,,6,12,173,175,0,0.679,392934.86198829906
30,1.0,132391.0512030393,139839.3677570321,2047.5865611889392,0.10418813777394238,139.82717190640625,0.308,66146.08077994536,,,8,0,177,170,0,0.692,198537.13198298466
31,1.0,132557.64775829267,139918.49199702393,2026.8236225953026,0.10595725367531608,139.99134125385675,0.308,119085.83022192909,,,8,2,163,184,0,0.692,251643.47798022177
32,1.0,132749.73615177046,139995.0267725776,2010.6484973755748,0.10412496704414176,140.12329640480706,0.296,145137.19195986606,,,8,4,162,165,0,0.704,277886.92811163655
33,1.0,132816.9861692968,139868.36759329593,1994.9878031086225,0.1019043840756432,140.23735600377256,0.309,186810.05375034775,,,8,6,174,165,0,0.6910000000000001,319627.0399196446
34,1.0,132915.32378082452,140004.10231144124,1978.4235932339584,0.103101690217943,140.33210360121492,0.306,221607.01087748085,,,8,8,174,162,0,0.694,354522.3346583054
35,1.0,132994.06501959226,140231.8104878383,1971.076180786645,0.11338808265484203,140.41232871901678,0.321,248550.38042750463,,,8,10,175,177,0,0.679,381544.4454470969
36,1.0,133068.3551221579,140207.74467322408,1961.795012510128,0.1126161703264988,140.48260860082704,0.32,260476.85737743834,,,8,12,172,176,0,0.6799999999999999,393545.21249959624
37,1.0,132405.06538425363,139847.60348812927,2045.6076383448603,0.10445639322434859,139.8070795891539,0.297,64460.281274481815,,,10,0,179,153,0,0.7030000000000001,196865.34665873545
38,1.0,132558.36653433234,139913.23442694207,2024.026140421744,0.10620094626178266,139.99178455434006,0.304,118995.17994765853,,,10,2,159,184,0,0.696,251553.54648199087
39,1.0,132734.81306842153,139970.10849748572,2007.6961329175208,0.10466261492679718,140.12348534566917,0.302,148860.7233652521,,,10,4,163,170,0,0.698,281595.53643367364
40,1.0,132817.51130755834,139857.19013062323,1990.6258004925814,0.10198928198295237,140.23857307000645,0.305,186355.46862314595,,,10,6,174,161,0,0.6950000000000001,319172.9799307043
