,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,T3,T4,T5,gen_1,reliability,penalized_avg_obj
0,0.5,284416.43667036784,295448.83465668326,3376.3167277220396,0.02426053353613548,289.8027141651387,0.788,120422809.3099996,669015.6072777756,0.0,0,0,354,318,317,298,286,0,0.21199999999999997,120707225.74666996
1,1.0,285333.85248197673,295785.5736180701,3208.096740138829,0.0032795288996545434,297.69627579104804,0.518,53203721.05706219,295576.22809478996,0.0,0,0,176,168,161,147,133,0,0.482,53489054.90954416
2,1.5,286546.28677301883,296514.02938148525,3099.0703313830104,-0.01833005783204435,305.5898368986736,0.292,20921840.854447547,116232.44919137529,0.0,0,0,80,86,67,70,62,0,0.708,21208387.141220566
3,2.0,287927.58939233737,297552.0252398454,3037.719022118069,-0.028039171263060794,313.48339829886316,0.136,7086648.152586797,39370.2675143711,0.0,0,0,24,41,30,30,22,0,0.864,7374575.741979134
4,2.5,289726.57957925246,299117.3944624929,2990.8513527212776,-0.026621784919994285,321.69038677580056,0.041,1680773.3504462088,9337.62972470116,0.0,0,0,7,14,10,9,3,0,0.959,1970499.9300254614
5,3.0,291917.807134001,301004.3892841089,2931.6437574559886,-0.017361305355158625,330.18529223151916,0.01,318851.9469644278,1771.3997053579328,0.0,0,0,1,2,2,5,0,0,0.99,610769.7540984289
