Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.591079989,9.362230111,9.159674413,8.963075203,8.773554538,8.712265622,9.778179682,11.21411788,11.05077508,9.78112949,9.108898695,8.483774401,7.952174559,7.843774473,7.931288775,7.881351576,8.324033692,9.710125047,10.48721201,10.33847629,10.0632351,10.81130406,10.94247674,10.16835228
2,11.32882226,11.45096717,11.41132525,11.23172446,11.03208737,10.60897711,11.54436423,13.46765636,13.93091071,12.1095254,11.45035803,10.81914158,10.19799006,10.0800447,10.29388684,10.4509042,11.42577119,13.52170965,14.40449605,12.55547786,10.87677906,11.57310323,11.82151383,11.29899909
