Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,81.33693006,77.21560629,74.61017172,73.99434173,75.03651556,77.31034937,84.0371077,94.31673136,100.096059,97.68011053,94.64833213,92.61135601,89.76906375,88.25317455,88.0636884,87.49522995,87.49522995,91.19020988,102.3698928,108.291335,105.4016712,102.7014935,97.15902362,88.91637608
2,112.9679584,107.2438976,103.6252385,102.7699191,104.2173827,107.3754852,116.7182051,130.9954602,139.0223041,135.6668202,131.4560168,128.6268833,124.6792552,122.5738535,122.3106783,121.5211527,121.5211527,126.6530693,142.1804066,150.4046319,146.3912099,142.6409632,134.9430884,123.4949668
