time,T1
0,347.168885
1,352.8
2,306.94748
3,334.677
4,347.485495
5,373.65055
6,410.33475
7,475.0165
8,527.1861
9,581.78575
10,631.81475
11,663.3151
12,668.7562
13,638.7388
14,651.483
15,589.54385
16,567.99995
17,557.75545
18,517.9384
19,504.07035
20,508.7404
21,484.14975
22,463.70905
23,457.99915
