,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
0,0.0,129985.96499888328,138433.7435703541,2267.8657013235043,0.11689861775919881,128.23670200258672,0.762,1483094.601562711,4943.648671875704,0,0,517,504,0,0.238,1613080.5665615941
1,0.5,131429.69195865007,139278.59419317433,2076.857057664472,0.12423277138397962,134.46666367095835,0.55,735745.191083866,2452.4839702795534,0,0,332,316,0,0.44999999999999996,867174.8830425162
2,1.0,133256.7830908908,140504.38720398978,1925.9383608143012,0.10140551409061577,140.6966269012883,0.304,305420.8344250516,1018.0694480835052,0,0,164,171,0,0.696,438677.6175159424
3,1.5,135354.6223249001,142124.12987575214,1830.2393523217308,0.059974786477915196,146.92658983249052,0.14,105053.1656862123,350.177218954041,0,0,76,72,0,0.86,240407.7880111124
4,2.0,137604.6190140265,144074.0784085435,1777.976899247014,0.029386355561347905,153.15655289741935,0.055,34575.61233483204,115.25204111610681,0,0,26,29,0,0.945,172180.23134885856
5,2.5,138111.68296062993,144634.259010789,1781.4208795549955,0.0348153309425271,159.87579381665705,0.011,7062.864185985967,23.542880619953223,0,0,8,3,0,0.989,145174.5471466159
6,3.0,138539.1459942206,145385.53596294258,1800.4314991838055,0.04940560688441242,166.62366947210606,0.006,3379.999669251103,11.266665564170342,0,0,6,0,0,0.994,141919.1456634717
