time,T1
0,13556.15
1,12851.15
2,12118.63
3,11700.56
4,11960.08
5,12420.49
6,13566.89
7,14606.22
8,15423.28
9,15700.35
10,15921.61
11,15622.74
12,15460.15
13,15466.31
14,15399.58
15,15520.56
16,15508.3
17,15635.06
18,15461.17
19,15571.1
20,15316.79
21,15217.54
22,14772.81
23,14252.61
