,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,T3,T4,T5,gen_22,reliability,penalized_avg_obj
0,0.0,997014.6228532739,1011799.4208348244,4839.379772537841,-0.0016789673363842557,995.698688896348,0.959,1312315140.3623958,7290639.668679977,38.147628955001665,0,0,506,469,491,502,519,3,0.041000000000000036,1313312154.985249
1,0.5,997907.670858197,1012173.3383683796,4698.182332974013,-0.007412637449143389,1006.9066385686956,0.834,646467523.4489201,3591486.2413828894,0.0,0,0,313,307,312,301,338,0,0.16600000000000004,647465431.1197783
2,1.0,999372.1785740873,1013318.4925318998,4583.474711247258,-0.019540700671548724,1018.4028046204812,0.604,261816256.5503758,1454534.758613199,0.0,0,0,166,159,168,156,173,0,0.396,262815628.72894987
3,1.5,1001037.1355604548,1014687.8476240041,4504.736559092517,-0.030644871379809105,1029.898970672653,0.292,81646685.67558222,453592.698197679,0.0,0,0,65,49,68,59,77,0,0.708,82647722.81114267
4,2.0,1002832.1788309304,1016281.8388803162,4450.257431461052,-0.0377096649778649,1041.395136720202,0.082,21599591.903242607,119997.73279579225,0.0,0,0,20,11,18,15,21,0,0.918,22602424.082073536
5,2.5,1003706.682054263,1017137.7270265468,4443.289922855412,-0.03636051593161561,1053.3063862096706,0.019,5730589.931406868,31836.610730038155,0.0,0,0,2,1,6,3,7,0,0.981,6734296.61346113
