,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,T3,T4,T5,gen_1,reliability,penalized_avg_obj
0,0.0,283914.57255033916,295760.19362540264,3446.105708959848,-0.0024580596625692827,281.9091580017951,0.963,1326908684.1296172,7371714.911831208,0.0,0,0,500,493,520,533,500,0,0.03700000000000003,1327192598.7021675
1,0.5,285556.9461998125,296738.3199773542,3242.12355496931,-0.006237153027512747,290.9096638171629,0.841,637840386.2757785,3543557.7015321036,0.0,0,0,314,302,338,322,316,0,0.15900000000000003,638125943.2219783
2,1.0,287602.1344602037,298220.30279066064,3080.79348856544,-0.025450201833051703,299.9101753421222,0.558,253628305.65104222,1409046.14250579,0.0,0,0,150,159,157,149,161,0,0.44199999999999995,253915907.78550243
3,1.5,289940.2326971004,300104.1924859318,2977.1411502506267,-0.048129862294940866,308.9106868444599,0.252,84912196.9884587,471734.4277136595,0.0,0,0,51,59,70,49,53,0,0.748,85202137.22115579
4,2.0,292498.97016815504,302318.8535843516,2917.577799284266,-0.05795360905564404,317.9605983261074,0.1,23452945.541094735,130294.14189497076,0.0,0,0,21,14,27,19,21,0,0.9,23745444.51126289
5,2.5,295797.0186921087,305372.09850407275,2873.250518673806,-0.059394040012069084,327.64678356206053,0.021,5806579.33102832,32258.77406126844,0.0,0,0,4,3,7,5,3,0,0.979,6102376.349720429
6,3.0,299199.75731840055,308477.9382645206,2819.1018160619365,-0.05192718208554547,337.33296714686503,0.004,1571414.5068137927,8730.080593409959,0.0,0,0,0,1,2,1,0,0,0.996,1870614.2641321933
