Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112.9679584,107.2438976,103.6252385,102.7699191,104.2173827,107.3754852,116.7182051,130.9954602,139.0223041,135.6668202,131.4560168,128.6268833,124.6792552,122.5738535,122.3106783,121.5211527,121.5211527,126.6530693,142.1804066,150.4046319,146.3912099,142.6409632,134.9430884,123.4949668
