Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5.64839792,5.36219488,5.181261925,5.138495955,5.210869135,5.36877426,5.835910255,6.54977301,6.951115205,6.78334101,6.57280084,6.431344165,6.23396276,6.128692675,6.115533915,6.076057635,6.076057635,6.332653465,7.10902033,7.520231595,7.319560495,7.13204816,6.74715442,6.17474834
